# Reviewed globals whose retail initialized-storage reconstruction is complete.
# Add each verified recovery here with authoritative retail evidence. The link audit
# hard-fails on storage, normalized bytes, relocation pattern, or reviewed pointer-
# target regressions. Known legacy mismatches remain transitional diagnostics until
# their initializers are recovered.
name	unit	size	retail_sha256	highlow_count	audit
?giGroundToTerrain@@3PAEA	SOURCE/KB	0x1b0	872023508ef106beee3deee322670c560e5df8c0828659b89ff19d0a5d2125a1	0	bytes
?giGroundShape@@3PAEA	SOURCE/KB	0x1b0	f2acb8d122405c14d85fcd09ba854c7179136e318dd6e6605b50bcbabb9f3b2d	0	bytes
?gMapColors@@3PAEA	SOURCE/KB	0x10	db737e30f3ff98aa8f1ed1bfa7465c2307162af1aa84e999f49752a83d63dc45	0	bytes
?gObjectColors@@3PAEA	SOURCE/KB	0x10	fe54c8ff6e10d571a31dbd7f4053986b21478fbb3a5b47ca992acdec91d71baf	0	bytes
?gOwnerColors@@3PAEA	SOURCE/KB	0x8	21df38eaea33554635b2f87ba74bd60f19ba516f4a52714752e9c50ca0bbcc04	0	bytes
?gTilesetFiles@@3PAPADA	SOURCE/KB	0x100	189087672ccef7e81f5a478e5e24517937bf785390940b7294f026d29a452679	64	cstring-pointer-table
?gHeroDefaultNames@@3PAPADA	SOURCE/KB	0xd8	d4e4bdf9c32daf767b5a6c266fb6390c27ebc6dc53cadbff288bf7989dc166ab	54	cstring-pointer-table
?giPixelsPerStep@@3PAHA	SOURCE/CURSOR	0x18	292337c77a9fced09b115a02e3a2fd5946e19f355fd61003ba35a0fe6253f446	0	bytes
?giStepDelay@@3PAHA	SOURCE/CURSOR	0x14	5efd1cb0f3d51749ec8c6c31dd17a1de675dfae0e1adbcfc227abccbb35bf7ac	0	bytes
?startVals@@3PAHA	SOURCE/CURSOR	0xc	ec214a16534ee761331e1feecf06215afd5c948b4f1d7578100ece1fc802a414	0	bytes
?iVWHalf@@3PAY151CA	SOURCE/Viewwrld	0x24	f1310d3003e10fab69eb60c5490155d21ae5d0414e87d448f5b7e4ff5886c252	0	bytes
?xHSCampaignNames@@3PAPADA	SOURCE/X_GLOBAL	0x10	d708d20c866024a23d736533e17118a4688b0e893299a5aeb4e635da2a1bcf91	4	cstring-pointer-table
?xRecruitEmpty@@3PAPADA	SOURCE/X_GLOBAL	0x18	edff356c0e7c532745c2a9bcf315c52fc60afef66947767fb6ed4a96d8cecaa6	5	cstring-pointer-table
?xRecruitBuy@@3PAPADA	SOURCE/X_GLOBAL	0x14	3ca837161f98682e27ca86cf938092dde1d7a6da9aa2ab19233f595b82e81da5	5	cstring-pointer-table
?xNecromancerShrine@@3PADA	SOURCE/X_GLOBAL	0x4	6686434ed1f6a51c6ad3b80bdfea4e0b5f7c6643fd976a30f5c98ff7fa1e5029	1	cstring-pointer-table
?xNecromancerShrineDesc@@3PADA	SOURCE/X_GLOBAL	0x4	57f556a499dd4ab939da11ae8f8197fdb57d6aea42e2b72ae5caacd51772e4ab	1	cstring-pointer-table
?xStableText@@3PAPADA	SOURCE/X_GLOBAL	0x10	d5adb436affff6384a2ba111a4901611140f705d5d2821f36ba377ebd9186231	4	cstring-pointer-table
