# Exact runtime-library identities recovered from the pinned VC 4.0 LIBCMT member
# objects. Regenerate and verify with `python3 -m homm2.build.runtime_fid`.
rva,size,name,unit,library,member,confidence,source
0xdfca0,0xf,__c_exit,crt0dat,LIBCMT,crt0dat.obj,HIGH,exact-member-signature
0xdfcb0,0x8d,_doexit,crt0dat,LIBCMT,crt0dat.obj,HIGH,exact-member-signature
0xdfd50,0xb,__unlockexit,crt0dat,LIBCMT,crt0dat.obj,HIGH,exact-member-signature
0xdfd60,0x20,__initterm,crt0dat,LIBCMT,crt0dat.obj,HIGH,exact-member-signature
0xe1720,0xb,__flushall,fflush,LIBCMT,fflush.obj,HIGH,exact-member-signature
0xe1730,0xb9,_flsall,fflush,LIBCMT,fflush.obj,HIGH,exact-member-signature
0xe1af0,0x8cf,__output,output,LIBCMT,output.obj,HIGH,exact-member-prefix-reviewed-span
0xe24d0,0x41,_write_char,output,LIBCMT,output.obj,HIGH,exact-member-signature
0xe2520,0x31,_write_multi_char,output,LIBCMT,output.obj,HIGH,exact-member-signature
0xe2560,0x37,_write_string,output,LIBCMT,output.obj,HIGH,exact-member-signature
0xe25a0,0xf,_get_int_arg,output,LIBCMT,output.obj,HIGH,exact-member-signature
0xe25b0,0x15,_get_int64_arg,output,LIBCMT,output.obj,HIGH,exact-member-signature
0xe25d0,0x10,_get_short_arg,output,LIBCMT,output.obj,HIGH,exact-member-signature
0xe28b0,0x77,__cftoe,cvt,LIBCMT,cvt.obj,HIGH,exact-member-signature
0xe2930,0xe4,__cftoe2,cvt,LIBCMT,cvt.obj,HIGH,exact-member-signature
0xe2a20,0x68,__cftof,cvt,LIBCMT,cvt.obj,HIGH,exact-member-signature
0xe2a90,0xbe,__cftof2,cvt,LIBCMT,cvt.obj,HIGH,exact-member-signature
0xe2c00,0x65,__cfltcvt,cvt,LIBCMT,cvt.obj,HIGH,exact-member-signature
0xe2c70,0x2b,__shift,cvt,LIBCMT,cvt.obj,HIGH,exact-member-signature
0xe3160,0x20c,___crtLCMapStringW,aw_map,LIBCMT,aw_map.obj,HIGH,exact-member-signature
0xe3370,0x33,_wcsncnt,aw_map,LIBCMT,aw_map.obj,HIGH,exact-member-signature
0xe33b0,0x22b,___crtLCMapStringA,aw_map,LIBCMT,aw_map.obj,HIGH,exact-member-signature
0xe35e0,0x2c,_strncnt,aw_map,LIBCMT,aw_map.obj,HIGH,exact-member-signature
0xe362c,0x20,__fFATN2,87triga,LIBCMT,87triga.obj,HIGH,exact-member-prefix-before-entry
0xe364c,0x30,__fFATN2$entry_0x20,87triga,LIBCMT,87triga.obj,HIGH,exact-owner-relative-entry
0xe373b,0x48,__ctrandisp2,87cdisp,LIBCMT,87cdisp.obj,HIGH,exact-member-prefix-before-entry
0xe3783,0x7,__ctrandisp2$entry_0x48,87cdisp,LIBCMT,87cdisp.obj,HIGH,exact-owner-relative-entry
0xe378a,0x131,__ctrandisp2$entry_0x4f,87cdisp,LIBCMT,87cdisp.obj,HIGH,exact-owner-relative-entry
0xe3b6e,0x43,__ffexpm1,87tran,LIBCMT,87tran.obj,HIGH,exact-member-prefix-before-entry
0xe3bb1,0x34,__ffexpm1$entry_0x43,87tran,LIBCMT,87tran.obj,HIGH,exact-owner-relative-entry
0xe3d40,0x14f,__XcptFilter,winxfltr,LIBCMT,winxfltr.obj,HIGH,exact-member-signature
0xe3e90,0x2f,_xcptlookup,winxfltr,LIBCMT,winxfltr.obj,HIGH,exact-member-signature
0xe4000,0x2a,__ismbbkana,ismbbyte,LIBCMT,ismbbyte.obj,HIGH,exact-member-signature
0xe4030,0x3a,_x_ismbbtype,ismbbyte,LIBCMT,ismbbyte.obj,HIGH,exact-member-signature
0xe4150,0x9b,__setargv,stdargv,LIBCMT,stdargv.obj,HIGH,exact-member-signature
0xe41f0,0x1d2,_parse_cmdline,stdargv,LIBCMT,stdargv.obj,HIGH,exact-member-signature
0xe4770,0x223,__setmbcp,mbctype,LIBCMT,mbctype.obj,HIGH,exact-member-signature
0xe49a0,0x4d,_getSystemCP,mbctype,LIBCMT,mbctype.obj,HIGH,exact-member-signature
0xe49f0,0x5f,_CPtoLCID,mbctype,LIBCMT,mbctype.obj,HIGH,exact-member-signature
0xe4a50,0x2c,_setSBCS,mbctype,LIBCMT,mbctype.obj,HIGH,exact-member-signature
0xe6420,0x31,__fpreset,ieee87,LIBCMT,ieee87.obj,HIGH,exact-member-signature
0xe6460,0xa1,__abstract_cw,ieee87,LIBCMT,ieee87.obj,HIGH,exact-member-signature
0xe6510,0x8d,__hw_cw,ieee87,LIBCMT,ieee87.obj,HIGH,exact-member-signature
0xe65a0,0x3c,__abstract_sw,ieee87,LIBCMT,ieee87.obj,HIGH,exact-member-signature
0xe8100,0x1a8,_raise,winsig,LIBCMT,winsig.obj,HIGH,exact-member-prefix-reviewed-span
0xe82e0,0x31,_siglookup,winsig,LIBCMT,winsig.obj,HIGH,exact-member-signature
0xe99e0,0x2c,__set_errno,fpexcept,LIBCMT,fpexcept.obj,HIGH,exact-member-signature
0xe9a10,0x26,__get_fname,fpexcept,LIBCMT,fpexcept.obj,HIGH,exact-member-signature
0xea4e0,0x3c,__itoa,xtoa,LIBCMT,xtoa.obj,HIGH,exact-member-signature
0xea520,0x60,_xtoa,xtoa,LIBCMT,xtoa.obj,HIGH,exact-member-signature
