path	line	end	name	signature	kind	properties	va	status	body_sha256	review
include/BASE/DebugCheck.h	4	5	DebugCheck	(void)	cpp	inline		read	cd5b841d7b9af8efc92237431a8e8d396681b7a9ef5e6cca1693aa9e71d1674a	B07: complete empty DebugCheck inline; no helper extraction needed
include/BASE/IconRle.h	17	20	ReadIconRleByte	(u8 * & cursor)	cpp	inline		read	eb109e9ac50234ee9739bd4606cc1fafd32a3203d280e9f678c497822a4f2d47	B05: complete command domains and ReadIconRleByte inline; H12
include/BASE/Misc.h	113	115	LogInt	(char * text,Enum value,i32 b,i32 c,i32 d,i32 e,i32 f,i32 g)	cpp	inline		read	45a82f6d5a1283c75f6e8fc8dabb12e8dddbf9c009ceb72153889d904c784ee6	B08: complete utility/layout/allocator contracts and strict LogInt template body; H05/H06; R10
include/BASE/baseManager.h	44	46	baseManager::Activate	(bool on=true)	cpp			read	54bdbf00f5e16cdd300aaebe6d24f7c45d3d4184e706ac944bd7e25d5789a157	B03: complete layout/interface; Activate inline reconciled
include/BASE/soundBackends.h	15	19	AudiereSampleNode::AudiereSampleNode	(class sample * resource,AudiereSampleNode * nextNode)	cpp			read	364cf46249cb9b83de959f823046b3225dec872c7cfd50f0b7cf207e8bd41b94	B06: complete backend contracts and AudiereSampleNode constructor body; R08
include/BASE/soundManager.h	101	103	IsAudiereBackend	(const soundManager * manager)	cpp	inline		read	3a2ef89ca37930f41f19ea793fd72fac62ff5a4c8ed5848233c6ca32e902444b	B06: complete layout/flags and five readiness/save/restore inlines; R08
include/BASE/soundManager.h	105	107	IsMilesBackend	(const soundManager * manager)	cpp	inline		read	0a8abe8bd4266ff7e4963aec8bbd467eb8ad873f0691bb2b1327ab7d9002a3bc	B06: complete layout/flags and five readiness/save/restore inlines; R08
include/BASE/soundManager.h	109	111	IsSoundBackendActive	(const soundManager * manager)	cpp	inline		read	945aec15535142199dfa199678ce06b38ceda6f5ffcfaed1fa58dc41609e4794	B06: complete layout/flags and five readiness/save/restore inlines; R08
include/BASE/soundManager.h	116	118	soundManager::SaveBackend	(void)	cpp	inline		read	6e06f0287dd1f62f09c3581e06592634993e6f4284fb690035136249f6532093	B06: complete layout/flags and five readiness/save/restore inlines; R08
include/BASE/soundManager.h	120	129	soundManager::RestoreBackend	(void)	cpp	inline		read	315cc94892aee336d7e7a8d572a6a552244bb208f2b6a69b6749bc0fa34c3aca	B06: complete layout/flags and five readiness/save/restore inlines; R08
include/EDITOR/fullMap.h	38	40	fullMap::Cells	(void)	cpp			read	af2108102120aeb6273a09a424beeae584a6d071cfb9ee219138b54cefc35920	B12: complete owner layout/API and six existing cell/extra accessors; R14
include/EDITOR/fullMap.h	41	43	fullMap::Row	(i32 y)	cpp			read	3231871e1127acd5a3963569a4942f796eb63a67cc56ef41eb7bf2264442b188	B12: complete owner layout/API and six existing cell/extra accessors; R14
include/EDITOR/fullMap.h	44	46	fullMap::Column	(i32 x)	cpp			read	60a45cd78b262cedf30f29b4d38ac76cedbc4c9d0af64133c8296dd445f39516	B12: complete owner layout/API and six existing cell/extra accessors; R14
include/EDITOR/fullMap.h	47	49	fullMap::Cell	(mapCell * & cell,i32 x,i32 y)	cpp			read	7e2015e93cadc463046169cb27bc35c8a16459ba729db75240c326e05ac36688	B12: complete owner layout/API and six existing cell/extra accessors; R14
include/EDITOR/fullMap.h	50	52	fullMap::GetCell	(i32 x,i32 y)	cpp			read	06a03f26252f1f0ae5d446d3635db7e3cb7a67d08fc945783188c7d7d8369c4e	B12: complete owner layout/API and six existing cell/extra accessors; R14
include/EDITOR/fullMap.h	53	55	fullMap::Extra	(i32 i)	cpp			read	05e5053b5e91af49d9e24d84bf41a149e1342ec0137c3968046ddf143ac11952	B12: complete owner layout/API and six existing cell/extra accessors; R14
include/EDITOR/mapcell.h	136	138	mapCell::HasFlag	(MapCellFlag flag) const	cpp	const,inline		read	9024b1420ffd0e539507e34aa44b936e87ec9685c1520c3975a12c0deaeb9ff1	B12: full tileset/bitfield/old-record layouts and HasFlag inline; R14
include/Ints.h	77	77	H2EnumStorage::H2EnumStorage	()	cpp-default-or-delete	default		read	191b1400715062a436eea549ac8a63c75e8f788a4322d43a051cb49556bc2319	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	78	78	H2EnumStorage::H2EnumStorage	(Enum value)	cpp	constexpr		read	e7f9f74461560430dc16c1d638bd48b147691630a6cb718f78602f4af31cce2f	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	79	79	H2EnumStorage::H2EnumStorage	(Storage value)	cpp	constexpr		read	e90c29ce3f07693c1ce4f020128615cf68582b9774df84daeb817c75b3d5f59a	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	82	83	H2EnumStorage::H2EnumStorage	(H2EnumStorage<Enum,OtherStorage> value)	cpp	constexpr		read	6284f65a96663609eff134e9da81e3ed81c94a7eaa8f887f89fb14be7ad06034	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	85	85	H2EnumStorage::operator Enum	() const	cpp	const,constexpr		read	82bc47c7c7eb6286cc989314b2f33d17ada08a491cafa4f29ee2bca7b0dc0742	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	89	91	H2EnumStorage::operator Integer	() const	cpp	const,explicit,constexpr		read	ed81f9c57116e8c30c96c538be5339f876b199c8606dedb1a74060662892cdf2	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	93	93	H2EnumStorage::value	() const	cpp	const,constexpr		read	bb99d4f3721fab81b81b13abd5d5c70d6e6d5f576bb5dd28397cfec9eb156763	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
include/Ints.h	95	98	H2EnumStorage::operator =	(Enum value)	cpp			read	70b4f690f6723e6d4f0bfdc79ca0b4fdf12023bab7f7841b6df3c32620c72160	B10: all 53 physical definitions, defaulted/constrained/conditional bodies and 68 macros read; modern compatibility R12
